001300.png;Pedestrian;0.5;7;7.722;0.722;0.103;342;137;407;331;359;118;402;340
005744.png;Pedestrian;0.5;7;7.319;0.319;0.046;777;142;829;322;774;125;825;343
004869.png;Pedestrian;0.5;7;7.502;0.502;0.072;635;144;705;323;644;117;691;336
002271.png;Pedestrian;0.5;7;10.532;3.532;0.505;220;146;303;329;241;120;288;340
001124.png;Pedestrian;0.5;7;6.891;-0.109;0.016;243;146;341;333;260;112;332;363
005817.png;Pedestrian;0.5;7;9.197;2.197;0.314;957;143;1023;327;970;131;1011;340
004786.png;Pedestrian;0.5;7;7.236;0.236;0.034;355;154;425;335;370;141;414;336
007073.png;Pedestrian;0.5;7;6.162;-0.838;0.120;707;141;789;326;712;66;783;354
007269.png;Pedestrian;0.5;5;5.948;0.948;0.190;415;153;487;369;421;103;493;370
007278.png;Pedestrian;0.5;8;9.087;1.087;0.136;499;155;566;309;514;138;554;314
003421.png;Pedestrian;0.5;7;9.003;2.003;0.286;485;157;553;333;508;131;552;321
004786.png;Pedestrian;0.5;9;11.313;2.313;0.257;168;150;229;308;185;150;227;304
003649.png;Pedestrian;0.5;8;9.981;1.981;0.248;569;149;621;310;572;120;617;301
004508.png;Pedestrian;0.5;8;4.814;-3.186;0.398;439;142;506;302;452;85;500;304
000764.png;Pedestrian;0.5;9;12.315;3.315;0.368;774;153;844;301;803;152;842;298
003591.png;Pedestrian;0.5;8;10.057;2.057;0.257;920;139;1002;304;933;146;980;304
005804.png;Pedestrian;0.5;5;2.739;-2.261;0.452;827;137;917;369;824;96;907;362
003464.png;Pedestrian;0.5;5;6.654;1.654;0.331;825;147;887;369;832;163;876;353
002954.png;Pedestrian;0.5;8;14.970;6.970;0.871;808;182;875;322;812;189;857;337
003398.png;Pedestrian;0.5;9;8.657;-0.343;0.038;711;145;782;302;734;155;778;309
000841.png;Pedestrian;0.5;8;6.883;-1.117;0.140;675;155;730;309;681;94;720;315
004583.png;Pedestrian;0.5;29;22.538;-6.462;0.223;565;184;583;227;562;172;583;245
002529.png;Pedestrian;0.5;7;6.542;-0.458;0.065;472;161;530;331;484;109;526;345
005301.png;Pedestrian;0.5;7;9.477;2.477;0.354;378;158;438;331;388;109;434;348
003576.png;Pedestrian;0.5;7;5.698;-1.302;0.186;1044;141;1109;319;1052;127;1094;329
006486.png;Pedestrian;0.5;7;10.770;3.770;0.539;926;168;999;322;930;163;982;318
001348.png;Pedestrian;0.5;6;2.264;-3.736;0.623;416;145;507;352;418;111;513;347
004674.png;Pedestrian;0.5;8;11.521;3.521;0.440;481;157;531;303;487;129;525;322
003398.png;Pedestrian;0.5;10;12.677;2.677;0.268;652;150;712;285;662;157;710;290
004786.png;Pedestrian;0.5;9;12.433;3.433;0.381;236;166;283;302;240;144;283;301
005439.png;Pedestrian;0.5;7;5.676;-1.324;0.189;824;143;918;332;835;139;890;317
004901.png;Pedestrian;0.5;8;10.389;2.389;0.299;171;148;253;316;184;131;236;320
004963.png;Pedestrian;0.5;8;16.170;8.170;1.021;813;148;875;315;815;157;850;304
002583.png;Pedestrian;0.5;9;10.154;1.154;0.128;713;156;753;287;719;131;758;284
002487.png;Pedestrian;0.5;9;7.201;-1.799;0.200;729;160;791;302;736;153;775;308
004963.png;Pedestrian;0.5;7;16.769;9.769;1.396;725;158;785;325;738;159;779;312
002294.png;Pedestrian;0.5;8;9.842;1.842;0.230;684;170;731;323;687;154;724;326
003464.png;Pedestrian;0.5;5;4.589;-0.411;0.082;724;137;790;369;737;160;778;363
004963.png;Pedestrian;0.5;17;19.132;2.132;0.125;629;164;652;240;635;147;652;247
003526.png;Pedestrian;0.5;6;8.278;2.278;0.380;165;147;261;369;161;117;254;364
002725.png;Pedestrian;0.5;11;9.872;-1.128;0.103;258;181;301;302;253;167;292;312
007333.png;Pedestrian;0.5;15;22.475;7.475;0.498;757;167;791;254;767;168;786;258
000422.png;Pedestrian;0.5;17;22.982;5.982;0.352;631;152;663;229;634;148;652;243
003464.png;Pedestrian;0.5;9;14.240;5.240;0.582;540;145;596;282;551;133;584;313
003464.png;Pedestrian;0.5;4;5.325;1.325;0.331;659;166;799;369;657;134;742;370
002247.png;Pedestrian;0.5;9;10.079;1.079;0.120;706;133;761;298;707;121;754;281
003398.png;Pedestrian;0.5;6;3.345;-2.655;0.443;1023;160;1130;351;1021;139;1139;370
000764.png;Pedestrian;0.5;8;13.024;5.024;0.628;767;149;830;314;782;155;819;316
001467.png;Pedestrian;0.5;7;10.995;3.995;0.571;218;166;277;347;234;178;271;352
000085.png;Pedestrian;0.5;9;14.387;5.387;0.599;304;177;359;304;317;167;350;311
001982.png;Pedestrian;0.5;8;10.453;2.453;0.307;874;152;938;296;879;149;934;299
004250.png;Pedestrian;0.5;9;14.797;5.797;0.644;277;157;341;290;287;141;342;269
000263.png;Pedestrian;0.5;10;13.619;3.619;0.362;539;157;583;278;541;128;580;282
002583.png;Pedestrian;0.5;8;15.286;7.286;0.911;743;155;796;312;738;155;792;293
006478.png;Pedestrian;0.5;10;17.998;7.998;0.800;739;163;791;276;739;165;780;284
002487.png;Pedestrian;0.5;8;10.534;2.534;0.317;678;152;731;317;675;163;724;305
005825.png;Pedestrian;0.5;16;19.961;3.961;0.248;720;152;748;231;724;144;742;242
000177.png;Pedestrian;0.5;14;24.991;10.991;0.785;1018;164;1053;247;1028;164;1047;262
005825.png;Pedestrian;0.5;11;12.569;1.569;0.143;772;146;817;257;768;138;809;262
001519.png;Pedestrian;0.5;7;8.495;1.495;0.214;188;146;284;328;201;103;290;358
004301.png;Pedestrian;0.5;16;20.812;4.812;0.301;420;173;440;253;424;169;443;257
002487.png;Pedestrian;0.5;27;24.849;-2.151;0.080;226;152;246;203;225;139;243;215
000428.png;Pedestrian;0.5;16;19.869;3.869;0.242;423;164;446;244;429;149;450;243
002725.png;Pedestrian;0.5;9;9.966;0.966;0.107;778;154;838;300;782;156;823;302
006121.png;Pedestrian;0.5;6;5.079;-0.921;0.153;770;137;911;360;782;110;879;357
006121.png;Pedestrian;0.5;7;7.327;0.327;0.047;887;136;967;330;917;154;969;321
000957.png;Pedestrian;0.5;9;16.011;7.011;0.779;896;144;972;290;894;133;943;281
003398.png;Pedestrian;0.5;8;8.785;0.785;0.098;709;149;768;320;707;152;748;306
007333.png;Pedestrian;0.5;10;15.986;5.986;0.599;323;172;357;292;324;171;372;294
002583.png;Pedestrian;0.5;3;6.527;3.527;1.176;0;132;143;373;2;80;91;374
002617.png;Pedestrian;0.5;8;9.599;1.599;0.200;305;149;381;310;312;117;363;344
002091.png;Pedestrian;0.5;5;7.469;2.469;0.494;1124;166;1214;373;1119;156;1212;374
001422.png;Pedestrian;0.5;7;10.648;3.648;0.521;480;148;548;328;498;148;538;308
000177.png;Pedestrian;0.5;17;29.000;12.000;0.706;928;165;958;237;930;164;948;261
007182.png;Pedestrian;0.5;15;24.172;9.172;0.611;393;159;415;249;391;153;410;242
003207.png;Pedestrian;0.5;8;12.958;4.958;0.620;1036;143;1087;293;1032;159;1075;306
006121.png;Pedestrian;0.5;15;20.448;5.448;0.363;442;141;467;228;452;129;468;227
004250.png;Pedestrian;0.5;10;12.405;2.405;0.240;334;157;377;286;338;153;380;289
004963.png;Pedestrian;0.5;11;21.337;10.337;0.940;774;155;821;269;778;167;815;293
003838.png;Pedestrian;0.5;8;8.459;0.459;0.057;647;155;722;298;639;92;735;303
003047.png;Pedestrian;0.5;4;6.389;2.389;0.597;958;120;1077;373;968;105;1080;374
003464.png;Pedestrian;0.5;22;32.096;10.096;0.459;643;145;662;202;645;144;662;240
003464.png;Pedestrian;0.5;5;9.263;4.263;0.853;322;165;419;369;324;124;417;360
003074.png;Pedestrian;0.5;12;14.548;2.548;0.212;776;153;819;254;774;137;812;281
001525.png;Pedestrian;0.5;10;14.368;4.368;0.437;976;148;1031;277;969;161;1016;304
